Afghanistan,29
Albania,30
Algeria,31
Andorra,32
Angola,33
Antigua and Barbuda,34
Argentina,35
Armenia,36
Australia,37
Austria,38
Azerbaijan,39
Bahamas,40
Bahrain,41
Bangladesh,42
Barbados,43
Belarus,44
Belgium,45
Belize,46
Benin,47
Bhutan,48
Bolivia (Plurinational State of),49
Bosnia and Herzegovina,50
Botswana,51
Brazil,52
Brunei Darussalam,53
Bulgaria,54
Burkina Faso,55
Burundi,56
Cabo Verde,57
Cambodia,58
Cameroon,59
Canada,60
Central African Republic,61
Chad,62
Chile,63
China,64
Colombia,65
Comoros,66
Congo,67
Cook Islands,68
Costa Rica,69
CÇïte d'Ivoire,70
Croatia,71
Cuba,72
Cyprus,73
Czechia,74
Democratic People's Republic of Korea,75
Democratic Republic of the Congo,76
Denmark,77
Djibouti,78
Dominica,79
Dominican Republic,80
Ecuador,81
Egypt,82
El Salvador,83
Equatorial Guinea,84
Eritrea,85
Estonia,86
Eswatini,87
Ethiopia,88
Fiji,89
Finland,90
France,91
Gabon,92
Gambia,93
Georgia,94
Germany,95
Ghana,96
Greece,97
Grenada,98
Guatemala,99
Guinea,100
Guinea-Bissau,101
Guyana,102
Haiti,103
Honduras,104
Hungary,105
Iceland,106
India,107
Indonesia,108
Iran (Islamic Republic of),109
Iraq,110
Ireland,111
Israel,112
Italy,113
Jamaica,114
Japan,115
Jordan,116
Kazakhstan,117
Kenya,118
Kiribati,119
Kuwait,120
Kyrgyzstan,121
Lao People's Democratic Republic,122
Latvia,123
Lebanon,124
Lesotho,125
Liberia,126
Libya,127
Lithuania,128
Luxembourg,129
Madagascar,130
Malawi,131
Malaysia,132
Maldives,133
Mali,134
Malta,135
Marshall Islands,136
Mauritania,137
Mauritius,138
Mexico,139
Micronesia (Federated States of),140
Monaco,141
Mongolia,142
Montenegro,143
Morocco,144
Mozambique,145
Myanmar,146
Namibia,147
Nauru,148
Nepal,149
Netherlands,150
New Zealand,151
Nicaragua,152
Niger,153
Nigeria,154
Niue,155
Norway,156
Oman,157
Pakistan,158
Palau,159
Panama,160
Papua New Guinea,161
Paraguay,162
Peru,163
Philippines,164
Poland,165
Portugal,166
Qatar,167
Republic of Korea,168
Republic of Moldova,169
Romania,170
Russian Federation,171
Rwanda,172
Saint Kitts and Nevis,173
Saint Lucia,174
Saint Vincent and the Grenadines,175
Samoa,176
San Marino,177
Sao Tome and Principe,178
Saudi Arabia,179
Senegal,180
Serbia,181
Seychelles,182
Sierra Leone,183
Singapore,184
Slovakia,185
Slovenia,186
Solomon Islands,187
Somalia,188
South Africa,189
South Sudan,190
Spain,191
Sri Lanka,192
Sudan,193
Suriname,194
Sweden,195
Switzerland,196
Syrian Arab Republic,197
Tajikistan,198
Thailand,199
The former Yugoslav republic of Macedonia,200
Timor-Leste,201
Togo,202
Tonga,203
Trinidad and Tobago,204
Tunisia,205
Turkey,206
Turkmenistan,207
Tuvalu,208
Uganda,209
Ukraine,210
United Arab Emirates,211
United Kingdom of Great Britain and Northern Ireland,212
United Republic of Tanzania,213
United States of America,214
Uruguay,215
Uzbekistan,216
Vanuatu,217
Venezuela (Bolivarian Republic of),218
Viet Nam,219
Yemen,220
Zambia,221
Zimbabwe,222
